Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,1802,176,256,256,0.00252,,9,False,1802,anat,,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977
,,,,datatype-anat_suffix-T2w__1,datatype-anat_suffix-T2w,1,896,176,256,256,0.306,,120,False,896,anat,,0,1.0,False,2.0,1.0,,3.2,,False,1.0,1.0,1.0
,,,,acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_suffix-T1w__1,acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_suffix-T1w,1,421,176,256,256,0.00252,,9,False,421,anat,,0,1.0,False,,,i-,1.9,,False,1.0,0.977,0.977
,,,,acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_suffix-T2w__1,acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_suffix-T2w,1,73,176,256,256,0.306,,120,False,73,anat,,0,1.0,False,,,i-,3.2,,False,1.0,1.0,1.0
,,,,acquisition-VARIANTObliquity_datatype-anat_suffix-T1w__1,acquisition-VARIANTObliquity_datatype-anat_suffix-T1w,1,28,176,256,256,0.00252,,9,False,28,anat,,0,1.0,True,2.0,1.0,,1.9,,False,1.0,0.977,0.977
,,,,acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirectionObliquity_datatype-anat_suffix-T1w__1,acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirectionObliquity_datatype-anat_suffix-T1w,1,19,176,256,256,0.00252,,9,False,19,anat,,0,1.0,True,,,i-,1.9,,False,1.0,0.977,0.977
,,,,acquisition-VARIANTEchoTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T2w__1,acquisition-VARIANTEchoTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_suffix-T2w,1,5,256,320,320,0.564,,120,False,5,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.7,0.7,0.7
,,,,acquisition-VARIANTDim1Size_datatype-anat_suffix-T1w__1,acquisition-VARIANTDim1Size_datatype-anat_suffix-T1w,1,1,177,256,256,0.00252,,9,False,1,anat,,0,1.0,False,2.0,1.0,,1.9,,False,1.0,0.977,0.977
,,,,datatype-dwi_suffix-dwi__1,datatype-dwi_suffix-dwi,1,1704,106,90,64,0.1,0.00069,90,False,1704,dwi,4.0,0,137.0,False,,0.75,j-,2.4,0.061,False,2.0,2.0,2.0
,,,,acquisition-VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_datatype-dwi_suffix-dwi__1,acquisition-VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTime_datatype-dwi_suffix-dwi,1,413,106,90,64,0.1,0.00069,90,False,413,dwi,,0,137.0,False,,,j-,2.4,,False,2.0,2.0,2.0
,,,,acquisition-VARIANTObliquity_datatype-dwi_suffix-dwi__1,acquisition-VARIANTObliquity_datatype-dwi_suffix-dwi,1,15,106,90,64,0.1,0.00069,90,False,15,dwi,4.0,0,137.0,True,,0.75,j-,2.4,0.061,False,2.0,2.0,2.0
,,,,acquisition-VARIANTRepetitionTime_datatype-dwi_suffix-dwi__1,acquisition-VARIANTRepetitionTime_datatype-dwi_suffix-dwi,1,9,106,90,64,0.1,0.00069,90,False,10,dwi,4.0,0,137.0,False,,0.75,j-,2.662,0.061,False,2.0,2.0,2.0
,,,,acquisition-VARIANTRepetitionTime_datatype-dwi_suffix-dwi__2,acquisition-VARIANTRepetitionTime_datatype-dwi_suffix-dwi,2,1,106,90,64,0.1,0.00069,90,False,10,dwi,4.0,0,137.0,False,,0.75,j-,3.422,0.061,False,2.0,2.0,2.0
,,,,acquisition-VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTimeObliquity_datatype-dwi_suffix-dwi__1,acquisition-VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTimeObliquity_datatype-dwi_suffix-dwi,1,6,106,90,64,0.1,0.00069,90,False,6,dwi,,0,137.0,True,,,j-,2.4,,False,2.0,2.0,2.0
,,,,acquisition-VARIANTDim3Size_datatype-dwi_suffix-dwi__1,acquisition-VARIANTDim3Size_datatype-dwi_suffix-dwi,1,1,106,90,56,0.1,0.00069,90,False,1,dwi,4.0,0,137.0,False,,0.75,j-,2.4,0.061,False,2.0,2.0,2.0
,,,,acquisition-VARIANTMultibandAccelerationFactorPartialFourierRepetitionTimeTotalReadoutTime_datatype-dwi_suffix-dwi__1,acquisition-VARIANTMultibandAccelerationFactorPartialFourierRepetitionTimeTotalReadoutTime_datatype-dwi_suffix-dwi,1,1,106,90,64,0.1,0.00069,90,False,1,dwi,,0,137.0,False,,,j-,2.707,,False,2.0,2.0,2.0
,,,,acquisition-VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTimeDim3Size_datatype-dwi_suffix-dwi__1,acquisition-VARIANTMultibandAccelerationFactorPartialFourierTotalReadoutTimeDim3Size_datatype-dwi_suffix-dwi,1,1,106,90,56,0.1,0.00069,90,False,1,dwi,,0,137.0,False,,,j-,2.4,,False,2.0,2.0,2.0
,,,,acquisition-VARIANTRepetitionTimeObliquity_datatype-dwi_suffix-dwi__1,acquisition-VARIANTRepetitionTimeObliquity_datatype-dwi_suffix-dwi,1,1,106,90,64,0.1,0.00069,90,False,1,dwi,4.0,0,137.0,True,,0.75,j-,2.669,0.061,False,2.0,2.0,2.0
,,,,acquisition-645_datatype-func_suffix-bold_task-rest__1,acquisition-645_datatype-func_suffix-bold_task-rest,1,1762,74,74,40,0.03,0.00051,60,False,1762,func,4.0,40,900.0,True,,1.0,j-,0.645,0.037,False,3.0,3.0,3.0
,,,,acquisition-1400_datatype-func_suffix-bold_task-rest__1,acquisition-1400_datatype-func_suffix-bold_task-rest,1,1747,112,112,64,0.03,0.00069,65,False,1747,func,4.0,64,404.0,True,,0.75,j-,1.4,0.077,False,2.0,2.0,2.0
,,,,acquisition-CAP_datatype-func_suffix-bold_task-rest__1,acquisition-CAP_datatype-func_suffix-bold_task-rest,1,1740,72,72,38,0.03,0.00051,80,False,1740,func,,38,120.0,True,,1.0,j-,2.5,0.036,False,3.0,3.0,3.33
,,,,acquisition-645_datatype-func_suffix-bold_task-CHECKERBOARD__1,acquisition-645_datatype-func_suffix-bold_task-CHECKERBOARD,1,1723,74,74,40,0.03,0.00051,60,False,1723,func,4.0,40,240.0,True,,1.0,j-,0.645,0.037,False,3.0,3.0,3.0
,,,,acquisition-1400_datatype-func_suffix-bold_task-CHECKERBOARD__1,acquisition-1400_datatype-func_suffix-bold_task-CHECKERBOARD,1,1713,112,112,64,0.03,0.00069,65,False,1713,func,4.0,64,98.0,True,,0.75,j-,1.4,0.077,False,2.0,2.0,2.0
